FREQ;Frequency;TENOR;Tenor;INSTRUMENT_TYPE;Instrument Type;DECIMALS;Decimals;TIME_PERIOD;OBS_VALUE
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-01-02;2.958
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-01-03;2.947
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-01-04;3.013
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-01-05;3.114
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-01-06;3.133
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-01-09;3.083
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-01-10;3.023
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-01-11;2.966
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-01-12;2.906
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-01-13;2.899
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-01-16;2.926
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-01-17;2.88
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-01-18;2.763
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-01-19;2.763
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-01-20;2.812
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-01-23;2.797
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-01-24;2.828
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-01-25;2.783
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-01-26;2.854
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-01-27;2.9
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-01-30;2.969
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-01-31;2.928
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-02-01;2.868
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-02-02;2.733
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-02-03;2.814
